0: 19.2, 96.8, 100.0, 97.4, 91.1, 85.3, 79.9, 74.8, 70.1, 65.7, 61.5, 57.7, 54.0, 50.7, 47.5, 44.6, 41.8, 39.2, 36.8, 34.5, 32.4, 30.4, 28.6, 26.8, 25.2, 23.6, 22.2, 20.9, 19.6, 18.4, 17.3, 16.2

4:  19.2, 96.9, 100.0, 98.2, 93.8, 89.6, 84.5, 79.7, 75.1, 70.8, 66.7, 62.8, 59.2, 55.7, 52.4, 49.4, 46.6, 43.9, 41.4, 39.0, 36.8, 34.6, 32.7, 30.8, 29.1, 27.5, 26.0, 24.5, 23.2, 21.9, 20.7, 19.5

7:  21.8, 97.0, 100.0, 98.5, 94.9, 91.3, 86.6, 82.1, 77.8, 73.7, 69.8, 66.1, 62.4, 58.9, 55.6, 52.5, 49.6, 46.9, 44.3, 41.9, 39.6, 37.4, 35.3, 33.4, 31.6, 29.9, 28.3, 26.7, 25.3, 24.0, 22.7, 21.4

10:  25.6, 97.1, 100.0, 98.6, 95.1, 91.5, 87.1, 83.0, 79.0, 75.1, 71.4, 67.8, 64.2, 60.9, 57.7, 54.6, 51.7, 49.1, 46.4, 44.0, 41.7, 39.5, 37.4, 35.4, 33.6, 31.8, 30.1, 28.5, 27.0, 25.6, 24.2, 22.9

13:  29.1, 97.3, 100.0, 98.6, 95.2, 91.6, 87.7, 83.8, 79.9, 76.2, 72.6, 69.2, 65.8, 62.4, 59.3, 56.3, 53.5, 50.9, 48.2, 45.8, 43.5, 41.2, 39.1, 37.1, 35.2, 33.4, 31.7, 30.0, 28.4, 26.9, 25.6, 24.2

16:  32.6, 97.4, 100.0, 98.6, 95.3, 91.8, 88.1, 84.3, 80.6, 77.0, 73.5, 70.1, 66.8, 63.5, 60.4, 57.4, 54.7, 52.0, 49.4, 47.0, 44.7, 42.5, 40.3, 38.3, 36.4, 34.6, 32.9, 31.2, 29.6, 28.1, 26.7, 25.3

20:  37.5, 97.6, 100.0, 98.7, 95.5, 92.2, 88.6, 85.0, 81.4, 77.9, 74.5, 71.2, 67.9, 64.8, 61.7, 58.8, 56.1, 53.4, 50.9, 48.5, 46.1, 43.9, 41.8, 39.8, 37.9, 36.0, 34.3, 32.6, 31.0, 29.5, 28.1, 26.7

24:  40.4, 97.8, 100.0, 98.7, 95.6, 92.3, 88.8, 85.4, 82.0, 78.6, 75.3, 72.0, 68.8, 65.8, 62.7, 59.9, 57.1, 54.5, 52.0, 49.6, 47.2, 45.0, 42.9, 40.8, 38.9, 37.1, 35.3, 33.6, 32.0, 30.5, 29.0, 27.6

30:  44.5, 98.1, 100.0, 98.7, 95.6, 92.3, 89.0, 85.7, 82.4, 79.0, 75.8, 72.7, 69.4, 66.4, 63.4, 60.6, 57.9, 55.4, 52.9, 50.5, 48.2, 45.9, 43.7, 41.7, 39.8, 37.8, 36.0, 34.3, 32.6, 31.1, 29.5, 28.0

35:  47.6, 98.3, 100.0, 98.7, 95.5, 92.2, 88.9, 85.7, 82.3, 79.0, 75.7, 72.6, 69.3, 66.2, 63.3, 60.4, 57.6, 55.1, 52.6, 50.2, 47.9, 45.6, 43.5, 41.5, 39.5, 37.6, 35.8, 34.1, 32.4, 30.9, 29.4, 27.9
