Depth[cm],E6,E9,E12,E16,E20
0.0,76.2,79.4,84.4,90.5,92.7
0.1,77.1,80.3,84.9,90.8,93.2
0.2,78.7,81.2,85.8,91.6,93.9
0.3,80.7,82.2,86.7,92.3,94.7
0.4,82.5,83.3,87.4,93.0,95.3
0.5,84.9,84.5,88.3,93.7,96.1
0.6,87.4,85.6,89.0,94.3,96.7
0.7,89.9,86.7,89.7,94.9,97.2
0.8,92.3,87.8,90.2,95.3,97.7
0.9,94.6,88.9,90.7,95.7,98.0
1.0,96.7,90.1,91.3,96.0,98.2
1.1,98.3,91.2,91.8,96.4,98.5
1.2,100.0,92.5,92.3,96.5,98.6
1.3,99.9,93.7,92.8,96.8,98.8
1.4,99.6,94.9,93.4,97.1,99.0
1.5,98.4,95.9,93.9,97.3,99.2
1.6,96.2,97.1,94.4,97.5,99.3
1.7,92.9,98.1,95.0,97.7,99.4
1.8,88.6,98.9,95.6,97.9,99.5
1.9,83.2,99.4,96.0,98.1,99.6
2.0,76.8,99.8,96.6,98.3,99.6
2.1,69.6,99.9,97.1,98.5,99.7
2.2,61.8,99.6,97.7,98.7,99.8
2.3,53.6,98.8,98.2,98.9,99.8
2.4,45.3,97.7,98.6,99.0,99.8
2.5,38.0,96.3,99.0,99.2,99.9
2.6,30.1,94.1,99.5,99.3,99.9
2.7,22.8,91.4,99.7,99.4,99.9
2.8,16.6,88.2,100.0,99.5,99.8
2.9,11.5,84.4,100.0,99.7,99.8
3.0,7.5,80.0,99.9,99.8,99.7
3.1,4.6,75.2,99.8,99.9,99.8
3.2,2.5,69.9,99.3,100.0,99.7
3.3,1.3,64.4,98.8,100.0,99.8
3.4,0.7,58.5,98.0,100.0,99.7
3.5,0.4,52.4,97.0,100.0,99.6
3.6,0.3,46.1,95.8,100.0,99.6
3.7,0.3,40.5,94.2,99.9,99.6
3.8,0.4,34.5,92.4,99.8,99.4
3.9,,28.6,90.3,99.7,99.4
4.0,,23.2,87.9,99.4,99.1
4.1,,18.4,85.3,99.1,99.0
4.2,,14.1,82.3,98.8,98.9
4.3,,10.5,79.0,98.3,98.7
4.4,,7.7,75.4,97.6,98.4
4.5,,5.4,71.6,97.0,98.3
4.6,,3.6,67.5,96.3,98.0
4.7,,2.7,63.5,95.6,97.8
4.8,,1.8,59.1,94.5,97.5
4.9,,1.2,54.4,93.4,97.2
5.0,,1.0,49.6,92.2,96.8
5.1,,1.0,44.8,90.8,96.5
5.2,,1.0,39.9,89.2,96.1
5.3,,1.0,35.1,87.5,95.7
5.4,,1.0,30.5,85.5,95.2
5.5,,1.0, 26.1,83.4,94.7
5.6,,1.0,22.0,81.1,94.1
5.7,,1.0,18.6,78.8,93.5
5.8,,1.0,15.2,76.5,92.8
5.9,,,12.3,73.8,92.0
6.0,,,9.7,70.9,91.3
6.1,,,7.7,67.8,90.4
6.2,,,5.9,64.5,89.4
6.3,,,4.6,61.0,88.4
6.4,,,3.7,57.5,87.3
6.5,,,2.9,53.8,86.1
6.6,,,2.4,50.2,84.8
6.7,,,2.1,46.6,83.4
6.8,,,2.0,43.2,82.3
6.9,,,1.9,39.7,80.8
7.0,,,1.8,36.1,79.2
7.1,,,1.8,32.7,77.4
7.2,,,1.8,29.3,75.6
7.3,,,1.8,26.1,73.8
7.4,,,1.6,23.0,71.9
7.5,,,1.6, 20.1,69.8
7.6,,,1.6,17.3,67.7
7.7,,,1.6,14.9,65.5
7.8,,,1.6,12.8,63.3
7.9,,,,11.1,61.0
8.0,,,,9.5,58.6
8.1,,,,8.2,56.1
8.2,,,,7.1,53.4
8.3,,,,6.2,50.9
8.4,,,,5.5,48.2
8.5,,,,4.9,45.6
8.6,,,,4.4,43.0
8.7,,,,4.1,40.3
8.8,,,,3.9,37.8
8.9,,,,3.8,35.1
9.0,,,,3.6,32.9
9.1,,,,3.5,30.4
9.2,,,,3.5,28.0
9.3,,,,3.5,25.8
9.4,,,,3.4,23.6
9.5,,,,3.4,21.5
9.6,,,,3.4,19.5
9.7,,,,3.4,17.6
9.8,,,,3.4,15.9
9.9,,,,,14.2
10.0,,,,,13.0
10.1,,,,,11.7
10.2,,,,,10.5
10.3,,,,,9.6
10.4,,,,,8.7
10.5,,,,,8.1
10.6,,,,,7.5
10.7,,,,,7.1
10.8,,,,,6.7
10.9,,,,,6.3
11.0,,,,,6.1
11.1,,,,,5.8
11.2,,,,,5.7
11.3,,,,,5.6
11.4,,,,,5.6
11.5,,,,,5.5
11.6,,,,,5.5
11.7,,,,,5.4
11.8,,,,,5.4
